Id,PID,MS SubClass,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Land Slope,Neighborhood,Condition 1,Condition 2,Overall Qual,Overall Cond,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,BsmtFin SF 1,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Cars,Garage Area,Garage Qual,Garage Cond,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Sale Type,SalePrice,Total Baths,Has Finished Garage,Detached Garage,Has Finished Basement,Total sq ft,Is Remodeled,Has Pool,Has Fence,Has Paved Drive,Has Central Air,Lot Config_CulDSac,Lot Config_FR2,Lot Config_FR3,Lot Config_Inside,MS Zoning_C (all),MS Zoning_FV,MS Zoning_I (all),MS Zoning_RH,MS Zoning_RL,MS Zoning_RM,Misc Feature_Gar2,Misc Feature_NA,Misc Feature_Othr,Misc Feature_Shed,Heating QC_Fa,Heating QC_Gd,Heating QC_Po,Heating QC_TA,House Style_1.5Unf,House Style_1Story,House Style_2.5Fin,House Style_2.5Unf,House Style_2Story,House Style_SFoyer,House Style_SLvl,Bldg Type_2fmCon,Bldg Type_Duplex,Bldg Type_Twnhs,Bldg Type_TwnhsE,Age
1044,527451290,160,21.0,1680,Pave,NA,Reg,Lvl,AllPub,Gtl,BrDale,Norm,Norm,6,5,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,3,3,CBlock,3,387.0,0.0,96.0,483.0,GasA,SBrkr,483,504,0,987,2,1,3,4,Typ,0,0,1.0,264.0,3,3,0,0,0,0,0,0,0,COD,85400,2,0,1,1,987,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,47
2752,906380150,20,64.0,7488,Pave,NA,IR1,Lvl,AllPub,Gtl,CollgCr,Norm,Norm,7,5,Gable,CompShg,VinylSd,VinylSd,NA,0.0,4,3,PConc,4,393.0,0.0,815.0,1208.0,GasA,SBrkr,1208,0,0,1208,2,1,4,6,Typ,0,0,2.0,632.0,3,3,105,58,0,0,0,0,0,WD ,183600,2,1,0,1,1371,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13
807,906226060,70,120.0,26400,Pave,NA,Reg,Bnk,AllPub,Gtl,SawyerW,Feedr,Norm,5,7,Gable,CompShg,HdBoard,HdBoard,NA,0.0,4,3,PConc,0,0.0,0.0,0.0,0.0,GasA,SBrkr,1288,728,0,2016,4,1,3,7,Mod,1,3,2.0,576.0,3,3,0,0,0,0,0,0,0,WD ,131000,1,0,0,1,2016,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,138
1177,533236070,160,24.0,2645,Pave,Pave,Reg,Lvl,AllPub,Gtl,Somerst,Norm,Norm,8,5,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,4,3,PConc,4,813.0,0.0,147.0,960.0,GasA,SBrkr,962,645,0,1607,3,1,4,7,Typ,0,0,2.0,480.0,3,3,169,0,0,0,0,0,0,ConLD,200000,3,0,1,1,1776,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,19
1480,907418040,20,74.0,9627,Pave,NA,Reg,Lvl,AllPub,Gtl,CollgCr,Norm,Norm,7,5,Gable,CompShg,VinylSd,VinylSd,NA,0.0,4,3,PConc,4,24.0,0.0,1327.0,1351.0,GasA,SBrkr,1361,0,0,1361,3,1,4,6,Typ,0,0,2.0,610.0,3,3,0,50,0,0,0,0,0,WD ,193000,2,1,0,1,1411,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11
324,923202105,20,93.0,10114,Pave,NA,Reg,Lvl,AllPub,Gtl,Mitchel,Norm,Norm,5,5,Gable,CompShg,VinylSd,VinylSd,NA,0.0,3,3,PConc,5,0.0,0.0,1430.0,1430.0,GasA,SBrkr,1430,0,0,1430,3,1,4,7,Typ,0,0,2.0,624.0,3,3,0,0,0,0,0,0,0,WD ,173500,2,1,0,0,1430,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14
1311,902301140,70,34.0,4571,Pave,Grvl,Reg,Lvl,AllPub,Gtl,OldTown,Norm,Norm,5,5,Gable,CompShg,AsbShng,AsbShng,NA,0.0,3,3,BrkTil,3,0.0,0.0,624.0,624.0,GasA,SBrkr,624,720,0,1344,4,1,3,7,Typ,0,0,3.0,513.0,2,2,0,0,96,0,0,0,0,COD,98000,1,0,1,0,1344,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,102
770,905101490,20,80.0,8816,Pave,NA,Reg,Lvl,AllPub,Gtl,Sawyer,Feedr,Norm,5,6,Gable,CompShg,VinylSd,VinylSd,NA,0.0,3,3,PConc,3,651.0,0.0,470.0,1121.0,GasA,SBrkr,1121,0,0,1121,3,1,3,5,Typ,0,0,2.0,480.0,3,3,0,80,0,0,0,0,0,WD ,139000,1,0,1,1,1201,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,55
2063,905107140,20,71.0,8197,Pave,NA,Reg,Lvl,AllPub,Gtl,Sawyer,Norm,Norm,6,5,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,3,3,CBlock,3,0.0,0.0,660.0,660.0,GasA,SBrkr,1285,0,0,1285,3,1,3,7,Typ,1,3,2.0,528.0,3,3,138,0,0,0,0,0,0,WD ,143500,2,1,0,0,1423,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,41
69,528458070,60,72.0,8640,Pave,NA,Reg,Lvl,AllPub,Gtl,Somerst,Norm,Norm,7,5,Gable,CompShg,VinylSd,VinylSd,NA,0.0,3,3,PConc,4,24.0,0.0,732.0,756.0,GasA,SBrkr,764,783,0,1547,3,1,4,7,Typ,0,0,2.0,614.0,3,3,169,45,0,0,0,0,0,Con,215200,3,0,0,1,1761,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9
2062,905106150,20,109.0,8724,Pave,NA,Reg,Lvl,AllPub,Gtl,Sawyer,Norm,Norm,5,5,Gable,CompShg,VinylSd,VinylSd,NA,0.0,3,3,CBlock,4,492.0,0.0,402.0,894.0,GasA,SBrkr,894,0,0,894,3,1,3,5,Typ,1,1,2.0,450.0,3,3,0,0,0,0,0,0,0,WD ,129000,1,1,0,1,894,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,50
351,527131030,120,40.0,5664,Pave,NA,IR1,Lvl,AllPub,Gtl,StoneBr,Norm,Norm,8,5,Gable,CompShg,CemntBd,CmentBd,NA,0.0,4,3,PConc,4,1158.0,0.0,343.0,1501.0,GasA,SBrkr,1659,0,0,1659,2,1,5,5,Typ,1,5,2.0,499.0,3,3,212,59,0,0,0,0,0,WD ,278000,2,1,0,1,1930,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,18
2393,528142010,60,103.0,12867,Pave,NA,IR1,Lvl,AllPub,Gtl,NridgHt,Norm,Norm,8,5,Gable,CompShg,CemntBd,CmentBd,NA,0.0,4,3,PConc,5,0.0,0.0,1209.0,1209.0,GasA,SBrkr,1209,1044,0,2253,3,1,5,8,Typ,1,4,2.0,575.0,3,3,243,142,0,0,0,0,0,New,344133,3,1,0,0,2638,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13
12,527165230,20,0.0,7980,Pave,NA,IR1,Lvl,AllPub,Gtl,Gilbert,Norm,Norm,6,7,Gable,CompShg,HdBoard,HdBoard,NA,0.0,3,4,PConc,4,935.0,0.0,233.0,1168.0,GasA,SBrkr,1187,0,0,1187,3,1,3,6,Typ,0,0,2.0,420.0,3,3,483,21,0,0,0,0,500,WD ,185000,2,1,0,1,1691,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,26
2339,527250040,190,100.0,34650,Pave,NA,Reg,Bnk,AllPub,Gtl,Gilbert,Norm,Norm,5,5,Hip,CompShg,Wd Sdng,Wd Sdng,NA,0.0,3,3,CBlock,3,1056.0,0.0,0.0,1056.0,GasA,SBrkr,1056,0,0,1056,3,1,3,5,Typ,0,0,2.0,572.0,3,3,264,0,0,0,0,0,0,WD ,145000,1,1,0,1,1320,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,63
624,535104120,20,92.0,10573,Pave,NA,IR1,Lvl,AllPub,Gtl,NAmes,Norm,Norm,6,6,Hip,CompShg,MetalSd,MetalSd,BrkFace,3.0,3,3,CBlock,3,1312.0,0.0,141.0,1453.0,GasA,SBrkr,1453,0,0,1453,3,1,3,6,Typ,1,3,2.0,530.0,3,3,0,49,0,0,288,0,0,WD ,187500,2,1,0,1,1502,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,57
86,532376160,20,65.0,8450,Pave,NA,Reg,Lvl,AllPub,Gtl,Sawyer,RRAe,Norm,5,8,Gable,CompShg,MetalSd,MetalSd,NA,0.0,3,4,CBlock,3,553.0,117.0,224.0,894.0,GasA,SBrkr,894,0,0,894,3,1,3,5,Typ,1,4,1.0,336.0,3,3,416,144,0,0,0,0,0,WD ,138500,1,0,1,1,1454,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,53
1534,909277040,50,0.0,11700,Pave,Grvl,IR1,HLS,AllPub,Mod,Crawfor,Norm,Norm,5,6,Gable,CompShg,WdShing,Wd Shng,NA,0.0,3,3,CBlock,3,606.0,0.0,336.0,942.0,GasA,SBrkr,1265,673,0,1938,4,1,4,7,Min2,1,4,1.0,240.0,3,3,0,40,0,0,0,0,0,WD ,198000,2,0,1,1,1978,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
2243,911103060,190,75.0,8250,Pave,NA,Reg,Lvl,AllPub,Gtl,IDOTRR,Feedr,Norm,5,6,Gable,CompShg,VinylSd,VinylSd,NA,0.0,3,4,CBlock,3,0.0,0.0,957.0,957.0,GasA,SBrkr,1034,957,0,1991,4,2,3,9,Typ,0,0,0.0,0.0,0,0,0,0,133,0,0,0,0,WD ,119600,2,0,0,0,1991,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,123
1957,535450190,50,60.0,8064,Pave,NA,Reg,Lvl,AllPub,Gtl,NAmes,Artery,Norm,5,7,Gable,CompShg,MetalSd,MetalSd,NA,0.0,3,4,CBlock,3,0.0,0.0,672.0,672.0,GasA,SBrkr,672,252,0,924,3,1,3,6,Typ,1,1,2.0,576.0,3,3,0,0,0,0,0,0,2000,WD ,122900,1,0,1,0,924,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
380,527355150,20,80.0,9600,Pave,NA,Reg,Lvl,AllPub,Gtl,NWAmes,PosN,Norm,8,5,Hip,WdShngl,BrkFace,BrkFace,NA,0.0,4,3,PConc,4,1104.0,0.0,1420.0,2524.0,GasA,SBrkr,2524,0,0,2524,4,1,4,9,Typ,1,4,2.0,542.0,3,3,474,120,0,0,0,0,0,WD ,278000,3,1,0,1,3118,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,37
2860,909276010,70,0.0,11435,Pave,NA,IR1,HLS,AllPub,Mod,Crawfor,Norm,Norm,8,7,Gable,CompShg,BrkFace,Stucco,NA,0.0,3,3,PConc,4,0.0,0.0,792.0,792.0,GasA,SBrkr,792,725,0,1517,3,1,4,7,Typ,2,4,2.0,400.0,3,3,0,0,0,0,0,0,0,WD ,230000,1,0,1,0,1517,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,89
2517,533250130,120,30.0,9549,Pave,NA,IR1,Lvl,AllPub,Gtl,Veenker,Norm,Norm,8,5,Hip,CompShg,BrkFace,BrkFace,NA,0.0,4,4,PConc,4,437.0,1057.0,0.0,1494.0,GasA,SBrkr,1494,0,0,1494,2,1,5,6,Typ,1,4,2.0,481.0,3,3,0,30,0,0,216,0,0,WD ,270000,2,1,0,1,1524,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,23
1933,535302070,20,60.0,10950,Pave,NA,Reg,Lvl,AllPub,Gtl,NAmes,Norm,Norm,6,6,Hip,CompShg,Wd Sdng,Wd Sdng,NA,0.0,3,3,CBlock,3,441.0,0.0,507.0,948.0,GasA,SBrkr,948,0,0,948,2,1,3,5,Typ,0,0,2.0,410.0,3,3,0,48,0,0,0,0,0,WD ,125000,1,0,1,1,996,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,66
820,906340110,20,79.0,10637,Pave,NA,Reg,Lvl,AllPub,Gtl,CollgCr,Norm,Norm,8,5,Hip,CompShg,VinylSd,VinylSd,Stone,336.0,4,3,PConc,5,1288.0,0.0,417.0,1705.0,GasA,SBrkr,1718,0,0,1718,3,1,4,7,Typ,1,4,3.0,826.0,3,3,208,44,0,0,0,0,0,WD ,297000,2,1,0,1,1970,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11
675,535426150,20,80.0,9000,Pave,NA,IR1,HLS,AllPub,Mod,NAmes,Norm,Norm,6,6,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,82.0,3,3,CBlock,4,0.0,0.0,160.0,160.0,GasA,SBrkr,1142,0,0,1142,2,1,3,5,Typ,1,4,1.0,384.0,3,3,0,28,64,0,0,0,0,WD ,113500,1,1,0,0,1170,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,60
2910,923225240,160,41.0,2665,Pave,NA,Reg,Lvl,AllPub,Gtl,MeadowV,Norm,Norm,5,6,Gable,CompShg,CemntBd,CmentBd,NA,0.0,3,3,PConc,3,548.0,173.0,36.0,757.0,GasA,SBrkr,925,550,0,1475,4,1,3,6,Typ,1,3,1.0,336.0,3,3,104,26,0,0,0,0,0,WD ,127000,2,1,0,1,1605,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,41
21,527358140,20,105.0,11751,Pave,NA,IR1,Lvl,AllPub,Gtl,NWAmes,Norm,Norm,6,6,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,3,3,CBlock,4,705.0,0.0,1139.0,1844.0,GasA,SBrkr,1844,0,0,1844,3,1,3,7,Typ,1,3,2.0,546.0,3,3,0,122,0,0,0,0,0,COD,190000,2,1,0,1,1966,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,41
1873,534177210,20,80.0,9600,Pave,NA,Reg,Lvl,AllPub,Gtl,NWAmes,Norm,Norm,7,6,Hip,CompShg,HdBoard,HdBoard,BrkFace,320.0,3,3,CBlock,3,916.0,0.0,326.0,1242.0,GasA,SBrkr,1242,0,0,1242,3,1,3,6,Typ,1,3,2.0,528.0,3,3,0,0,0,0,0,0,0,WD ,175500,2,0,0,1,1242,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,45
2125,907135050,20,60.0,8428,Pave,NA,IR2,Lvl,AllPub,Gtl,CollgCr,Norm,Norm,5,7,Gable,CompShg,VinylSd,VinylSd,NA,0.0,3,4,PConc,4,420.0,0.0,570.0,990.0,GasA,SBrkr,990,0,0,990,3,1,3,5,Typ,0,0,1.0,384.0,3,3,256,0,0,0,0,0,0,WD ,146000,1,0,1,1,1246,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24
1489,908102260,20,75.0,9937,Pave,NA,Reg,Lvl,AllPub,Gtl,Edwards,Norm,Norm,5,6,Gable,CompShg,HdBoard,HdBoard,NA,0.0,4,3,CBlock,3,830.0,290.0,136.0,1256.0,GasA,SBrkr,1256,0,0,1256,3,1,3,6,Typ,0,0,1.0,276.0,3,3,736,68,0,0,0,0,0,WD ,147500,2,1,0,1,2060,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,53
2383,528110050,20,107.0,13891,Pave,NA,Reg,Lvl,AllPub,Gtl,NridgHt,Norm,Norm,10,5,Gable,CompShg,VinylSd,VinylSd,NA,0.0,5,3,PConc,5,1386.0,0.0,690.0,2076.0,GasA,SBrkr,2076,0,0,2076,2,1,5,7,Typ,1,4,3.0,850.0,3,3,216,229,0,0,0,0,0,New,465000,3,1,0,1,2521,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12
983,923275040,85,0.0,9101,Pave,NA,IR1,Lvl,AllPub,Gtl,Mitchel,Norm,Norm,5,6,Gable,CompShg,Plywood,Plywood,BrkFace,104.0,3,4,PConc,4,1097.0,0.0,0.0,1097.0,GasA,SBrkr,1110,0,0,1110,1,1,4,4,Typ,1,3,2.0,602.0,3,3,303,30,0,0,0,0,0,WD ,165500,1,1,0,1,1443,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40
1325,902406090,50,81.0,12150,Pave,Grvl,Reg,Lvl,AllPub,Gtl,OldTown,Norm,Norm,5,5,Gable,CompShg,MetalSd,MetalSd,BrkFace,335.0,3,3,BrkTil,3,0.0,0.0,1050.0,1050.0,GasA,FuseF,1050,745,0,1795,4,1,3,7,Typ,0,0,1.0,352.0,2,3,0,0,0,0,0,0,0,WD ,131500,2,0,0,0,1795,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
1378,905102170,20,70.0,11200,Pave,NA,Reg,Lvl,AllPub,Gtl,Sawyer,Norm,Norm,5,5,Hip,CompShg,HdBoard,HdBoard,NA,0.0,3,3,CBlock,3,906.0,0.0,134.0,1040.0,GasA,SBrkr,1040,0,0,1040,3,1,3,5,Typ,0,0,1.0,384.0,3,3,0,0,0,0,0,0,0,WD ,129500,1,0,1,1,1040,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,53
1537,909281110,70,100.0,9670,Pave,NA,IR1,HLS,AllPub,Mod,Crawfor,Norm,Norm,8,6,Gable,CompShg,BrkFace,Stucco,Stone,40.0,3,3,PConc,3,210.0,0.0,398.0,608.0,GasA,SBrkr,983,890,0,1873,4,1,3,9,Typ,2,4,2.0,786.0,2,3,0,0,207,0,0,0,0,WD ,257076,2,1,1,1,1873,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,83
